"name","owner","creation","modified","modified_by","docstatus","idx","naming_series","item_code","item_name","item_group","stock_uom","pack_breaking_policy","disabled","allow_alternative_item","is_stock_item","has_variants","is_fixed_asset","auto_create_assets","is_grouped_asset","opening_stock","standard_rate","over_delivery_receipt_allowance","over_billing_allowance","brand","valuation_method","valuation_rate","end_of_life","default_material_request_type","weight_per_unit","allow_negative_stock","has_batch_no","create_new_batch","has_expiry_date","shelf_life_in_days","retain_sample","sample_quantity","has_serial_no","variant_based_on","enable_deferred_expense","no_of_months_exp","enable_deferred_revenue","no_of_months","min_order_qty","safety_stock","is_purchase_item","lead_time_days","last_purchase_rate","is_customer_provided_item","delivered_by_supplier","grant_commission","is_sales_item","max_discount","inspection_required_before_purchase","inspection_required_before_delivery","include_item_in_manufacturing","is_sub_contracted_item","production_capacity","total_projected_qty","customer_code","doctype","uoms","barcodes","reorder_levels","item_defaults","attributes","supplier_items","customer_items","taxes"
"1101.3512","levonaghinyan77@gmail.com","2026-04-27 18:50:21.271088","2026-05-06 21:55:40.844036","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3512","Cortex Screw
 3.5*12mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b64cv4541s"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.282957"",""modified"":""2026-05-06 21:55:40.844036"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3512"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b64o51kf79"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.283699"",""modified"":""2026-05-06 21:55:40.844036"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3512"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1h03h9gpcg"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.271088"",""modified"":""2026-05-06 21:55:40.844036"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3512"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3514","levonaghinyan77@gmail.com","2026-04-27 18:50:21.305483","2026-05-06 21:55:41.188343","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3514","Cortex Screw  3.5*14mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b650aeejjt"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.320143"",""modified"":""2026-05-06 21:55:41.188343"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3514"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b65l7g93mc"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.321121"",""modified"":""2026-05-06 21:55:41.188343"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3514"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1h49qn4m82"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.305483"",""modified"":""2026-05-06 21:55:41.188343"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3514"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3516","levonaghinyan77@gmail.com","2026-04-27 18:50:21.347831","2026-05-06 21:55:41.550044","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3516","Cortex Screw  3.5*16mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b65e7nhrce"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.360755"",""modified"":""2026-05-06 21:55:41.550044"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3516"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b655bp64jp"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.361456"",""modified"":""2026-05-06 21:55:41.550044"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3516"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1h7de46p2e"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.347831"",""modified"":""2026-05-06 21:55:41.550044"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3516"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3518","levonaghinyan77@gmail.com","2026-04-27 18:50:21.394873","2026-05-06 21:55:41.866672","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3518","Cortex Screw  3.5*18mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b66pq12ppd"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.421547"",""modified"":""2026-05-06 21:55:41.866672"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3518"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b66guu8if1"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.425213"",""modified"":""2026-05-06 21:55:41.866672"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3518"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1ha570pnes"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.394873"",""modified"":""2026-05-06 21:55:41.866672"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3518"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3520","levonaghinyan77@gmail.com","2026-04-27 18:50:21.465948","2026-05-06 21:55:42.213820","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3520","Cortex Screw  3.5*20mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b66u9i6psp"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.482162"",""modified"":""2026-05-06 21:55:42.213820"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3520"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b66vkok751"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.483585"",""modified"":""2026-05-06 21:55:42.213820"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3520"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1heg5btkh4"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.465948"",""modified"":""2026-05-06 21:55:42.213820"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3520"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3522","levonaghinyan77@gmail.com","2026-04-27 18:50:21.510479","2026-05-06 21:55:42.530107","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3522","Cortex Screw  3.5*22mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b672gsncmk"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.525295"",""modified"":""2026-05-06 21:55:42.530107"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3522"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b67r7smclq"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.526012"",""modified"":""2026-05-06 21:55:42.530107"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3522"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1hhbvp88hf"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.510479"",""modified"":""2026-05-06 21:55:42.530107"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3522"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3524","levonaghinyan77@gmail.com","2026-04-27 18:50:21.544531","2026-05-06 21:55:42.837259","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3524","Cortex Screw  3.5*24mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b67n7t4l5e"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.554824"",""modified"":""2026-05-06 21:55:42.837259"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3524"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b67d6kt2dn"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.555682"",""modified"":""2026-05-06 21:55:42.837259"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3524"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1hkuo8nst1"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.544531"",""modified"":""2026-05-06 21:55:42.837259"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3524"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3526","levonaghinyan77@gmail.com","2026-04-27 18:50:21.577440","2026-05-06 21:55:43.153780","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3526","Cortex Screw  3.5*26mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b67tr05hmr"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.596982"",""modified"":""2026-05-06 21:55:43.153780"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3526"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b677c9a0sf"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.599935"",""modified"":""2026-05-06 21:55:43.153780"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3526"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1hn5ebfj0j"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.577440"",""modified"":""2026-05-06 21:55:43.153780"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3526"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3528","levonaghinyan77@gmail.com","2026-04-27 18:50:21.624743","2026-05-06 21:55:43.515284","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3528","Cortex Screw  3.5*28mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b682aaeocs"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.640658"",""modified"":""2026-05-06 21:55:43.515284"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3528"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b68v1k5sr0"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.641758"",""modified"":""2026-05-06 21:55:43.515284"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3528"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1hrj463tra"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.624743"",""modified"":""2026-05-06 21:55:43.515284"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3528"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
"1101.3530","levonaghinyan77@gmail.com","2026-04-27 18:50:21.665602","2026-05-06 21:55:43.909183","ai-agent@internal.com","0","0","STO-ITEM-.YYYY.-","1101.3530","Cortex Screw  3.5*30mm","zmd screws","Nos","Never break packs","0","0","1","0","0","0","0","0.0","0.0","0.0","0.0","ZMD","","0.0","2099-12-31","Purchase","0.0","0","0","0","0","0","0","0","0","Item Attribute","0","0","0","0","0.0","0.0","1","0","0.0","0","0","1","1","0.0","0","0","1","0","0","0.0","","Item","{""name"":""b684stm1gp"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.685616"",""modified"":""2026-05-06 21:55:43.909183"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""uom"":""Nos"",""conversion_factor"":1.0,""parent"":""1101.3530"",""parentfield"":""uoms"",""parenttype"":""Item"",""doctype"":""UOM Conversion Detail""}","","","{""name"":""b68io0pjgi"",""owner"":""levonaghinyan77@gmail.com"",""creation"":""2026-04-27 18:50:21.687059"",""modified"":""2026-05-06 21:55:43.909183"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""company"":""InMED"",""default_warehouse"":""Main - Inmed"",""parent"":""1101.3530"",""parentfield"":""item_defaults"",""parenttype"":""Item"",""doctype"":""Item Default""}","","{""name"":""1hvuklgo4l"",""owner"":""ai-agent@internal.com"",""creation"":""2026-04-27 18:50:21.665602"",""modified"":""2026-05-06 21:55:43.909183"",""modified_by"":""ai-agent@internal.com"",""docstatus"":0,""idx"":1,""supplier"":""ZMD"",""parent"":""1101.3530"",""parentfield"":""supplier_items"",""parenttype"":""Item"",""doctype"":""Item Supplier""}","",""
